,gene,transcript,protein_change,score,pvalue,qvalue,info
37410,MAP3K1,ENST00000399503,.,0.986,16.0,0.0,TYPE=driver
37411,PBRM1,ENST00000394830,.,0.9840000000000001,16.0,0.0,TYPE=driver
37412,ATRX,ENST00000373344,.,0.98,16.0,0.0,TYPE=driver
37413,CASP8,ENST00000358485,.,0.972,16.0,0.0,TYPE=driver
37414,CDH1,ENST00000261769,.,0.97,16.0,0.0,TYPE=driver
37415,PTEN,ENST00000371953,.,0.968,16.0,0.0,TYPE=driver
37416,APC,ENST00000457016,.,0.968,16.0,0.0,TYPE=driver
37417,CTNNB1,ENST00000349496,.,0.9670000000000001,16.0,0.0,TYPE=driver
37418,NF1,ENST00000358273,.,0.9670000000000001,16.0,0.0,TYPE=driver
37419,PIK3CA,ENST00000263967,.,0.966,16.0,0.0,TYPE=driver
37420,IDH1,ENST00000415913,.,0.965,16.0,0.0,TYPE=driver
37421,USP9X,ENST00000324545,.,0.9620000000000001,16.0,0.0,TYPE=driver
37422,FGFR3,ENST00000340107,.,0.961,16.0,0.0,TYPE=driver
37423,ATM,ENST00000278616,.,0.961,16.0,0.0,TYPE=driver
37424,STAG2,ENST00000218089,.,0.9590000000000001,16.0,0.0,TYPE=driver
37425,RB1,ENST00000267163,.,0.9570000000000001,16.0,0.0,TYPE=driver
37426,BAP1,ENST00000460680,.,0.955,16.0,0.0,TYPE=driver
37427,SETD2,ENST00000409792,.,0.955,16.0,0.0,TYPE=driver
37428,KANSL1,ENST00000262419,.,0.9540000000000001,16.0,0.0,TYPE=driver
37429,STK11,ENST00000326873,.,0.95,16.0,0.0,TYPE=driver
37430,EPHA2,ENST00000358432,.,0.9490000000000001,16.0,0.0,TYPE=driver
37431,NSD1,ENST00000439151,.,0.9490000000000001,16.0,0.0,TYPE=driver
37432,BRAF,ENST00000288602,.,0.9490000000000001,16.0,0.0,TYPE=driver
37433,CCAR1,ENST00000265872,.,0.9470000000000001,16.0,0.0,TYPE=driver
37434,NAA15,ENST00000296543,.,0.945,16.0,0.0,TYPE=driver
37435,KDM6A,ENST00000377967,.,0.943,16.0,0.0,TYPE=driver
37436,CTCF,ENST00000264010,.,0.943,16.0,0.0,TYPE=driver
37437,RBM10,ENST00000377604,.,0.9420000000000001,16.0,0.0,TYPE=driver
37438,ARID1A,ENST00000324856,.,0.9390000000000001,16.0,0.0,TYPE=driver
37439,BRD7,ENST00000394689,.,0.938,16.0,0.0,TYPE=driver
37440,KRAS,ENST00000256078,.,0.938,16.0,0.0,TYPE=driver
37441,FBXW7,ENST00000281708,.,0.938,16.0,0.0,TYPE=driver
37442,NFE2L2,ENST00000397062,.,0.9329999999999999,16.0,0.0,TYPE=driver
37443,NIPBL,ENST00000282516,.,0.9329999999999999,16.0,0.0,TYPE=driver
37444,SMAD4,ENST00000342988,.,0.932,16.0,0.0,TYPE=driver
37445,FUBP1,ENST00000370768,.,0.932,16.0,0.0,TYPE=driver
37446,DDX3X,ENST00000399959,.,0.932,16.0,0.0,TYPE=driver
37447,AJUBA,ENST00000262713,.,0.9309999999999999,16.0,0.0,TYPE=driver
37448,RASA1,ENST00000274376,.,0.9309999999999999,16.0,0.0,TYPE=driver
37449,KMT2C,ENST00000262189,.,0.93,16.0,0.0,TYPE=driver
37450,EP300,ENST00000263253,.,0.927,16.0,0.0,TYPE=driver
37451,PSIP1,ENST00000380733,.,0.924,16.0,0.0,TYPE=driver
37452,VHL,ENST00000256474,.,0.9209999999999999,16.0,0.0,TYPE=driver
37453,RAC1,ENST00000356142,.,0.919,16.0,0.0,TYPE=driver
37454,KMT2D,ENST00000301067,.,0.917,16.0,0.0,TYPE=driver
37455,LATS1,ENST00000543571,.,0.915,16.0,0.0,TYPE=driver
37456,NF2,ENST00000338641,.,0.9129999999999999,16.0,0.0,TYPE=driver
37457,JAK1,ENST00000342505,.,0.9129999999999999,16.0,0.0,TYPE=driver
37458,GNA11,ENST00000078429,.,0.9109999999999999,16.0,0.0,TYPE=driver
37459,PIK3R1,ENST00000521381,.,0.91,16.0,0.0,TYPE=driver
37460,AKT1,ENST00000554581,.,0.91,16.0,0.0,TYPE=driver
37461,RHOA,ENST00000418115,.,0.91,16.0,0.0,TYPE=driver
37462,FAT1,ENST00000441802,.,0.909,16.0,0.0,TYPE=driver
37463,EGFR,ENST00000275493,.,0.9079999999999999,16.0,0.0,TYPE=driver
37464,CREBBP,ENST00000262367,.,0.9059999999999999,16.0,0.0,TYPE=driver
37465,SF3B1,ENST00000335508,.,0.904,16.0,0.0,TYPE=driver
37466,NOTCH1,ENST00000277541,.,0.904,16.0,0.0,TYPE=driver
37467,MAP2K4,ENST00000353533,.,0.903,16.0,0.0,TYPE=driver
37468,SCAF4,ENST00000286835,.,0.9009999999999999,16.0,0.0,TYPE=driver
37469,HLA-A,ENST00000396634,.,0.893,16.0,0.0,TYPE=driver
37470,CDKN2A,ENST00000498124,.,0.892,16.0,0.0,TYPE=driver
37471,KMT2B,ENST00000222270,.,0.89,5.271957712534118,0.00153846153846,TYPE=driver
37472,SMARCA1,ENST00000371122,.,0.89,5.271957712534118,0.00153846153846,TYPE=driver
37473,GTF2I,ENST00000324896,.,0.89,5.271957712534118,0.00153846153846,TYPE=driver
37474,HLA-B,ENST00000412585,.,0.889,5.271957712534118,0.00153846153846,TYPE=driver
37475,DYRK1A,ENST00000398960,.,0.889,4.970927716869325,0.00243902439025,TYPE=driver
37476,GNAQ,ENST00000286548,.,0.889,4.970927716869325,0.00243902439025,TYPE=driver
37477,ARHGAP35,ENST00000404338,.,0.888,4.970927716869325,0.00243902439025,TYPE=driver
37478,MGA,ENST00000219905,.,0.888,4.970927716869325,0.00243902439025,TYPE=driver
37479,SAV1,ENST00000324679,.,0.887,4.970927716869325,0.00243902439025,TYPE=driver
37480,SPOP,ENST00000393331,.,0.887,4.970927716869325,0.00243902439025,TYPE=driver
37481,ARID2,ENST00000334344,.,0.884,4.970927716869325,0.00243902439025,TYPE=driver
37482,CUL3,ENST00000264414,.,0.882,4.970927716869325,0.00243902439025,TYPE=driver
37483,BMPR2,ENST00000374580,.,0.8809999999999999,4.970927716869325,0.00243902439025,TYPE=driver
37484,BRCA1,ENST00000471181,.,0.8809999999999999,4.970927716869325,0.00243902439025,TYPE=driver
37485,TRAF3,ENST00000560371,.,0.88,4.970927716869325,0.00243902439025,TYPE=driver
37486,CSDE1,ENST00000438362,.,0.879,4.970927716869325,0.00243902439025,TYPE=driver
37487,MAPK1,ENST00000215832,.,0.878,4.970927716869325,0.00243902439025,TYPE=driver
37488,NRAS,ENST00000369535,.,0.877,4.970927716869325,0.00243902439025,TYPE=driver
37489,YLPM1,ENST00000325680,.,0.877,4.970927716869325,0.00243902439025,TYPE=driver
37490,KMT2A,ENST00000534358,.,0.873,4.970927716869325,0.00243902439025,TYPE=driver
37491,CDK4,ENST00000257904,.,0.872,4.970927716869325,0.00243902439025,TYPE=driver
37492,RUNX1,ENST00000300305,.,0.871,4.794836457814998,0.0034482758620700002,TYPE=driver
37493,MAP2K1,ENST00000307102,.,0.868,4.794836457814998,0.0034482758620700002,TYPE=driver
37494,CTNND1,ENST00000399050,.,0.868,4.794836457814998,0.0034482758620700002,TYPE=driver
37495,RPL5,ENST00000370321,.,0.868,4.794836457814998,0.0034482758620700002,TYPE=driver
37496,GPS2,ENST00000380728,.,0.868,4.794836457814998,0.0034482758620700002,TYPE=driver
37497,FGFR2,ENST00000457416,.,0.866,4.669897721205344,0.00416666666668,TYPE=driver
37498,U2AF1,ENST00000291552,.,0.865,4.669897721205344,0.00416666666668,TYPE=driver
37499,TP53,ENST00000269305,.,0.865,4.669897721205344,0.00416666666668,TYPE=driver
37500,XPO4,ENST00000255305,.,0.863,4.669897721205344,0.00416666666668,TYPE=driver
37501,TSC1,ENST00000298552,.,0.861,4.669897721205344,0.00416666666668,TYPE=driver
37502,TGFBR2,ENST00000359013,.,0.861,4.669897721205344,0.00416666666668,TYPE=driver
37503,HRAS,ENST00000451590,.,0.861,4.669897721205344,0.00416666666668,TYPE=driver
37504,RNF43,ENST00000584437,.,0.8590000000000001,4.669897721205344,0.00416666666668,TYPE=driver
37505,RNF111,ENST00000559209,.,0.856,4.669897721205344,0.00416666666668,TYPE=driver
37506,MSH2,ENST00000233146,.,0.8540000000000001,4.5729877081981,0.00515463917526,TYPE=driver
37507,AXIN1,ENST00000262320,.,0.8490000000000001,4.493806462151016,0.0060606060606,TYPE=driver
37508,ERBB2,ENST00000269571,.,0.8490000000000001,4.493806462151016,0.0060606060606,TYPE=driver
37509,TCF12,ENST00000438423,.,0.845,4.42685967251963,0.00700000000001,TYPE=driver
37510,THRAP3,ENST00000354618,.,0.8440000000000001,4.368867725542378,0.00754716981132,TYPE=driver
37511,BCOR,ENST00000378444,.,0.8440000000000001,4.368867725542378,0.00754716981132,TYPE=driver
37512,DNMT3A,ENST00000264709,.,0.8440000000000001,4.368867725542378,0.00754716981132,TYPE=driver
37513,DAZAP1,ENST00000233078,.,0.843,4.368867725542378,0.00754716981132,TYPE=driver
37514,BMPR1A,ENST00000372037,.,0.8420000000000001,4.368867725542378,0.00754716981132,TYPE=driver
37515,IRF2,ENST00000393593,.,0.84,4.368867725542378,0.00754716981132,TYPE=driver
37516,CIC,ENST00000575354,.,0.8390000000000001,4.317715203095336,0.00833333333332,TYPE=driver
37517,NCOR1,ENST00000268712,.,0.838,4.317715203095336,0.00833333333332,TYPE=driver
37518,HSP90AB1,ENST00000371554,.,0.833,4.271957712534118,0.00900900900901,TYPE=driver
37519,CDKN1A,ENST00000405375,.,0.8320000000000001,4.271957712534118,0.00900900900901,TYPE=driver
37520,SOS1,ENST00000426016,.,0.8320000000000001,4.271957712534118,0.00900900900901,TYPE=driver
37521,SENP3,ENST00000429205,.,0.8270000000000001,4.158014360227407,0.0115044247788,TYPE=driver
37522,MSH6,ENST00000234420,.,0.826,4.158014360227407,0.0115044247788,TYPE=driver
37523,KAT8,ENST00000448516,.,0.825,4.125829676856229,0.012280701754399999,TYPE=driver
37524,PTPN11,ENST00000351677,.,0.8220000000000001,4.095866453478438,0.013043478260899998,TYPE=driver
37525,CUL1,ENST00000325222,.,0.82,4.067837729878397,0.0136752136752,TYPE=driver
37526,KLF6,ENST00000497571,.,0.82,4.067837729878397,0.0136752136752,TYPE=driver
37527,PPP2R1A,ENST00000322088,.,0.8190000000000001,4.041508791155749,0.014406779661000001,TYPE=driver
37528,CDK12,ENST00000447079,.,0.815,3.993204111579409,0.0150793650794,TYPE=driver
37529,PCBP1,ENST00000303577,.,0.813,3.993204111579409,0.0150793650794,TYPE=driver
37530,HNRNPUL2,ENST00000301785,.,0.813,3.993204111579409,0.0150793650794,TYPE=driver
37531,ATF7IP,ENST00000261168,.,0.812,3.993204111579409,0.0150793650794,TYPE=driver
37532,ACVR2A,ENST00000241416,.,0.81,3.993204111579409,0.0150793650794,TYPE=driver
37533,USP28,ENST00000003302,.,0.8079999999999999,3.993204111579409,0.0150793650794,TYPE=driver
37534,CHD3,ENST00000380358,.,0.807,3.993204111579409,0.0150793650794,TYPE=driver
37535,SAAL1,ENST00000524803,.,0.807,3.993204111579409,0.0150793650794,TYPE=driver
37536,BRE,ENST00000344773,.,0.8059999999999999,3.9709277168693253,0.015625,TYPE=driver
37537,HNRNPDL,ENST00000295470,.,0.8059999999999999,3.9709277168693253,0.015625,TYPE=driver
37538,MTOR,ENST00000361445,.,0.805,3.9497384178003543,0.0161538461538,TYPE=driver
37539,CHD8,ENST00000399982,.,0.804,3.9497384178003543,0.0161538461538,TYPE=driver
37540,EEF1A1,ENST00000316292,.,0.802,3.9295350317129465,0.0167938931297,TYPE=driver
37541,RHOB,ENST00000272233,.,0.799,3.9102298765183625,0.0174242424242,TYPE=driver
37542,TRAF3IP2,ENST00000368761,.,0.7929999999999999,3.8569843645640507,0.019548872180400002,TYPE=driver
37543,B2M,ENST00000558401,.,0.789,3.8095597146350504,0.021481481481499996,TYPE=driver
37544,FRA10AC1,ENST00000359204,.,0.789,3.8095597146350504,0.021481481481499996,TYPE=driver
37545,PIK3R2,ENST00000222254,.,0.787,3.780596018700999,0.022794117647,TYPE=driver
37546,ERBB3,ENST00000267101,.,0.785,3.7668077342134003,0.023188405797200003,TYPE=driver
37547,FOXP1,ENST00000491238,.,0.784,3.7668077342134003,0.023188405797200003,TYPE=driver
37548,LMO2,ENST00000257818,.,0.775,3.6384892569551366,0.0309352517985,TYPE=driver
37549,WAC,ENST00000354911,.,0.774,3.6187451987584143,0.0321428571429,TYPE=driver
37550,SUPT20H,ENST00000350612,.,0.773,3.6091998808526156,0.0326241134752,TYPE=driver
37551,CDKN1B,ENST00000228872,.,0.7709999999999999,3.5998598545988854,0.0330985915493,TYPE=driver
37552,CHUK,ENST00000370397,.,0.77,3.581761632505207,0.0342657342658,TYPE=driver
37553,CNOT1,ENST00000317147,.,0.769,3.5729877081981,0.0344827586207,TYPE=driver
37554,ZC3H13,ENST00000282007,.,0.768,3.5729877081981,0.0344827586207,TYPE=driver
37555,RTF1,ENST00000389629,.,0.768,3.5643875364365645,0.034931506849300006,TYPE=driver
37556,SIN3A,ENST00000394947,.,0.7659999999999999,3.5476818429329007,0.0358108108109,TYPE=driver
37557,RAB14,ENST00000373840,.,0.7659999999999999,3.5476818429329007,0.0358108108109,TYPE=driver
37558,PTCH1,ENST00000331920,.,0.764,3.4938064621510168,0.039735099337699996,TYPE=driver
37559,TRIP12,ENST00000283943,.,0.764,3.4938064621510168,0.039735099337699996,TYPE=driver
37560,PICALM,ENST00000393346,.,0.764,3.4938064621510168,0.039735099337699996,TYPE=driver
37561,SMAD2,ENST00000402690,.,0.7609999999999999,3.4657777385506887,0.0421052631579,TYPE=driver
37562,FRMD6,ENST00000344768,.,0.759,3.445882909833389,0.0435064935065,TYPE=driver
37563,CHD4,ENST00000357008,.,0.758,3.445882909833389,0.0435064935065,TYPE=driver
37564,ATXN3,ENST00000393287,.,0.757,3.4331086217975226,0.044516129032199994,TYPE=driver
37565,UBQLN1,ENST00000376395,.,0.754,3.420699363815089,0.0455128205128,TYPE=driver
37566,SFXN1,ENST00000321442,.,0.753,3.414625216103166,0.0458598726114,TYPE=driver
37567,PDE6D,ENST00000287600,.,0.752,3.391144120253584,0.048101265822800006,TYPE=driver
37568,DHX15,ENST00000336812,.,0.7509999999999999,3.3688677255423785,0.049693251533699995,TYPE=driver
37569,MED23,ENST00000368068,.,0.75,3.3688677255423785,0.049693251533699995,TYPE=driver
37570,SOD1,ENST00000270142,.,0.7490000000000001,3.3634726936559103,0.049693251533699995,TYPE=driver
37571,MYC,ENST00000377970,.,0.748,3.3634726936559103,0.049693251533699995,TYPE=driver
37572,EIF1AX,ENST00000379607,.,0.748,3.3634726936559103,0.049693251533699995,TYPE=driver
37573,PHF20L1,ENST00000395386,.,0.7440000000000001,3.3374592612902108,0.051190476190499996,TYPE=driver
37574,KRT15,ENST00000254043,.,0.7440000000000001,3.3374592612902108,0.051190476190499996,TYPE=driver
37575,ATP6V1B1,ENST00000234396,.,0.7440000000000001,3.3374592612902108,0.051190476190499996,TYPE=driver
37576,ELF3,ENST00000359651,.,0.7440000000000001,3.3374592612902108,0.051190476190499996,TYPE=driver
37577,MVP,ENST00000357402,.,0.743,3.3374592612902108,0.051190476190499996,TYPE=driver
37578,CSNK1A1,ENST00000515768,.,0.742,3.3324384599153882,0.0514792899409,TYPE=driver
37579,LZTR1,ENST00000215739,.,0.741,3.3225677058895347,0.0517441860465,TYPE=driver
37580,GNA13,ENST00000439174,.,0.74,3.3225677058895347,0.0517441860465,TYPE=driver
37581,PPP6C,ENST00000451402,.,0.74,3.3225677058895347,0.0517441860465,TYPE=driver
37582,ANAPC4,ENST00000315368,.,0.737,3.298829858934904,0.0543352601156,TYPE=driver
37583,KEAP1,ENST00000171111,.,0.733,3.246651847269686,0.0605714285714,TYPE=driver
37584,AMBRA1,ENST00000314845,.,0.733,3.246651847269686,0.0605714285714,TYPE=driver
37585,RXRA,ENST00000481739,.,0.732,3.2305650273761892,0.062146892655300004,TYPE=driver
37586,ARID1B,ENST00000346085,.,0.731,3.2305650273761892,0.062146892655300004,TYPE=driver
37587,ZC3H18,ENST00000301011,.,0.727,3.19641075114197,0.0664804469273,TYPE=driver
37588,SOX9,ENST00000245479,.,0.727,3.19641075114197,0.0664804469273,TYPE=driver
37589,SIAH1,ENST00000356721,.,0.726,3.185597881859557,0.0677777777778,TYPE=driver
37590,NAP1L1,ENST00000261182,.,0.725,3.1715871674167104,0.0696132596685,TYPE=driver
37591,HP1BP3,ENST00000312239,.,0.723,3.1546864168786275,0.0708108108108,TYPE=driver
37592,IFRD1,ENST00000403825,.,0.723,3.1546864168786275,0.0708108108108,TYPE=driver
37593,RALB,ENST00000272519,.,0.722,3.1546864168786275,0.0708108108108,TYPE=driver
37594,ELAVL1,ENST00000407627,.,0.722,3.1546864168786275,0.0708108108108,TYPE=driver
37595,CCND1,ENST00000227507,.,0.72,3.1448529141694084,0.0712765957447,TYPE=driver
37596,INPPL1,ENST00000298229,.,0.72,3.1448529141694084,0.0712765957447,TYPE=driver
37597,SMAD3,ENST00000327367,.,0.72,3.1448529141694084,0.0712765957447,TYPE=driver
37598,ERCC2,ENST00000391945,.,0.7190000000000001,3.135237145377641,0.07248677248680001,TYPE=driver
37599,SMARCA4,ENST00000429416,.,0.7190000000000001,3.125829676856229,0.0732984293193,TYPE=driver
37600,KIT,ENST00000288135,.,0.718,3.125829676856229,0.0732984293193,TYPE=driver
37601,TAF1,ENST00000276072,.,0.7140000000000001,3.0929807652410783,0.07664974619289999,TYPE=driver
37602,IWS1,ENST00000295321,.,0.7140000000000001,3.0929807652410783,0.07664974619289999,TYPE=driver
37603,PXK,ENST00000356151,.,0.7140000000000001,3.0929807652410783,0.07664974619289999,TYPE=driver
37604,RAF1,ENST00000251849,.,0.713,3.0929807652410783,0.07664974619289999,TYPE=driver
37605,PHC2,ENST00000257118,.,0.713,3.0929807652410783,0.07664974619289999,TYPE=driver
37606,RQCD1,ENST00000273064,.,0.713,3.0929807652410783,0.07664974619289999,TYPE=driver
37607,GTF2B,ENST00000370500,.,0.713,3.087266281716371,0.0772727272728,TYPE=driver
37608,FEZ2,ENST00000379245,.,0.7090000000000001,3.0466484308084105,0.0841584158416,TYPE=driver
37609,TRAM1,ENST00000262213,.,0.708,3.0415087911557492,0.0841584158416,TYPE=driver
37610,MLLT1,ENST00000252674,.,0.708,3.0415087911557492,0.0841584158416,TYPE=driver
37611,DENND6A,ENST00000311128,.,0.7070000000000001,3.0415087911557492,0.0841584158416,TYPE=driver
37612,ACTB,ENST00000331789,.,0.706,3.02644504472008,0.0866995073892,TYPE=driver
37613,MAGED2,ENST00000375068,.,0.7040000000000001,3.0191046815542073,0.08774509803919998,TYPE=driver
37614,TP53BP1,ENST00000382044,.,0.703,3.009506622803654,0.08883495145630001,TYPE=driver
37615,UBE2D3,ENST00000357194,.,0.703,3.009506622803654,0.08883495145630001,TYPE=driver
37616,MEN1,ENST00000337652,.,0.701,2.997799863270923,0.0903846153845,TYPE=driver
37617,ATP6V1H,ENST00000359530,.,0.701,2.997799863270923,0.0903846153845,TYPE=driver
37618,SRGAP3,ENST00000383836,.,0.7,2.993204111579409,0.09047619047660001,TYPE=driver
37619,TATDN1,ENST00000276692,.,0.7,2.993204111579409,0.09047619047660001,TYPE=driver
37620,EXOSC8,ENST00000389704,.,0.6990000000000001,2.988656483830603,0.0909952606635,TYPE=driver
37621,TRIM27,ENST00000377199,.,0.6970000000000001,2.9687616551157476,0.0939252336444,TYPE=driver
37622,EIF2S2,ENST00000374980,.,0.6970000000000001,2.9687616551157476,0.0939252336444,TYPE=driver
37623,MED21,ENST00000282892,.,0.6970000000000001,2.9687616551157476,0.0939252336444,TYPE=driver
37624,PLK1,ENST00000300093,.,0.6970000000000001,2.955987367076683,0.09583333333350001,TYPE=driver
37625,E2F1,ENST00000343380,.,0.696,2.955987367076683,0.09583333333350001,TYPE=driver
37626,VCP,ENST00000358901,.,0.6940000000000001,2.925604738082485,0.102304147466,TYPE=driver
37627,MAX,ENST00000358664,.,0.6920000000000001,2.912122230193507,0.104566210046,TYPE=driver
37628,GNAS,ENST00000371100,.,0.6920000000000001,2.912122230193507,0.104566210046,TYPE=driver
37629,HUS1,ENST00000258774,.,0.6890000000000001,2.899045709563544,0.106787330317,TYPE=driver
37630,MLLT4,ENST00000392108,.,0.6890000000000001,2.899045709563544,0.106787330317,TYPE=driver
37631,CYLD,ENST00000427738,.,0.6890000000000001,2.8935598115861034,0.107174887892,TYPE=driver
37632,NOTCH2,ENST00000256646,.,0.688,2.8935598115861034,0.107174887892,TYPE=driver
37633,TBL1XR1,ENST00000430069,.,0.687,2.8792607592738872,0.10881057268699999,TYPE=driver
37634,RPS24,ENST00000440692,.,0.6859999999999999,2.8792607592738872,0.10881057268699999,TYPE=driver
37635,CCDC47,ENST00000225726,.,0.6859999999999999,2.8792607592738872,0.10881057268699999,TYPE=driver
37636,RPF2,ENST00000441448,.,0.6859999999999999,2.8792607592738872,0.10881057268699999,TYPE=driver
37637,HNRNPD,ENST00000313899,.,0.685,2.867123995913848,0.11091703056800001,TYPE=driver
37638,AFF4,ENST00000265343,.,0.685,2.867123995913848,0.11091703056800001,TYPE=driver
37639,DCUN1D1,ENST00000292782,.,0.684,2.862024589203039,0.111739130435,TYPE=driver
37640,HIST2H2BE,ENST00000369155,.,0.684,2.8553172051957256,0.1125,TYPE=driver
37641,PAK1,ENST00000278568,.,0.6829999999999999,2.8553172051957256,0.1125,TYPE=driver
37642,CD58,ENST00000369489,.,0.6809999999999999,2.842205432530974,0.114468085107,TYPE=driver
37643,LMAN1,ENST00000251047,.,0.6809999999999999,2.842205432530974,0.114468085107,TYPE=driver
37644,UCHL5,ENST00000367455,.,0.6809999999999999,2.842205432530974,0.114468085107,TYPE=driver
37645,ATP1A3,ENST00000545399,.,0.68,2.8310486304683833,0.116455696203,TYPE=driver
37646,PPP4C,ENST00000279387,.,0.68,2.8310486304683833,0.116455696203,TYPE=driver
37647,STAT3,ENST00000264657,.,0.68,2.8217086042152415,0.117991631799,TYPE=driver
37648,XPOT,ENST00000332707,.,0.679,2.8217086042152415,0.117991631799,TYPE=driver
37649,ZMYM4,ENST00000314607,.,0.679,2.8155916794052573,0.119166666667,TYPE=driver
37650,CASP6,ENST00000265164,.,0.6759999999999999,2.805090092180375,0.121074380165,TYPE=driver
37651,CEP70,ENST00000264982,.,0.6759999999999999,2.805090092180375,0.121074380165,TYPE=driver
37652,EPAS1,ENST00000263734,.,0.674,2.7933912169400705,0.123360655738,TYPE=driver
37653,RBM39,ENST00000253363,.,0.674,2.7933912169400705,0.123360655738,TYPE=driver
37654,TCEB1,ENST00000518127,.,0.674,2.7890841289256216,0.124081632653,TYPE=driver
37655,TIAL1,ENST00000369093,.,0.672,2.780596018700999,0.125506072874,TYPE=driver
37656,MAP3K5,ENST00000359015,.,0.672,2.780596018700999,0.125506072874,TYPE=driver
37657,ATXN2,ENST00000377617,.,0.672,2.77227062991516,0.127419354839,TYPE=driver
37658,MSH3,ENST00000265081,.,0.67,2.7614127023264436,0.129083665339,TYPE=driver
37659,RRAS2,ENST00000256196,.,0.67,2.7614127023264436,0.129083665339,TYPE=driver
37660,UBE2A,ENST00000371558,.,0.669,2.7614127023264436,0.129083665339,TYPE=driver
37661,RARA,ENST00000254066,.,0.669,2.7534437726560346,0.12992125984300001,TYPE=driver
37662,FGF2,ENST00000264498,.,0.669,2.7534437726560346,0.12992125984300001,TYPE=driver
37663,PPP2R2A,ENST00000315985,.,0.6679999999999999,2.7534437726560346,0.12992125984300001,TYPE=driver
37664,PHF5A,ENST00000216252,.,0.667,2.7443278116627514,0.132156862745,TYPE=driver
37665,HNRNPAB,ENST00000358344,.,0.6659999999999999,2.7392033335413446,0.132170542636,TYPE=driver
37666,EFTUD2,ENST00000426333,.,0.6659999999999999,2.7392033335413446,0.132170542636,TYPE=driver
37667,MAP2K2,ENST00000262948,.,0.6659999999999999,2.7392033335413446,0.132170542636,TYPE=driver
37668,RAD21,ENST00000297338,.,0.664,2.7192894964229906,0.13678160919500001,TYPE=driver
37669,DLG1,ENST00000346964,.,0.6629999999999999,2.7192894964229906,0.13678160919500001,TYPE=driver
37670,NUP133,ENST00000261396,.,0.6629999999999999,2.7192894964229906,0.13678160919500001,TYPE=driver
37671,CBFB,ENST00000412916,.,0.662,2.709664848078223,0.138721804511,TYPE=driver
37672,PNISR,ENST00000369239,.,0.662,2.704931346375402,0.138721804511,TYPE=driver
37673,GNA12,ENST00000275364,.,0.6609999999999999,2.704931346375402,0.138721804511,TYPE=driver
37674,PHLDA3,ENST00000367311,.,0.6609999999999999,2.704931346375402,0.138721804511,TYPE=driver
37675,GIGYF2,ENST00000409451,.,0.6609999999999999,2.704931346375402,0.138721804511,TYPE=driver
37676,SSB,ENST00000409333,.,0.66,2.6944659126961885,0.139705882353,TYPE=driver
37677,RBL2,ENST00000262133,.,0.659,2.6944659126961885,0.139705882353,TYPE=driver
37678,PTMA,ENST00000341369,.,0.6579999999999999,2.6921741159175654,0.139705882353,TYPE=driver
37679,PTPN3,ENST00000374541,.,0.6579999999999999,2.6921741159175654,0.139705882353,TYPE=driver
37680,MTF2,ENST00000370298,.,0.6579999999999999,2.6921741159175654,0.139705882353,TYPE=driver
37681,DST,ENST00000244364,.,0.6579999999999999,2.6921741159175654,0.139705882353,TYPE=driver
37682,ZNRF3,ENST00000544604,.,0.657,2.6864969830250693,0.14,TYPE=driver
37683,PLCG1,ENST00000373272,.,0.657,2.6864969830250693,0.14,TYPE=driver
37684,BCL2L11,ENST00000393256,.,0.657,2.6864969830250693,0.14,TYPE=driver
37685,SPRED1,ENST00000299084,.,0.6559999999999999,2.6808931055083693,0.140213523132,TYPE=driver
37686,IDH2,ENST00000330062,.,0.6559999999999999,2.6808931055083693,0.140213523132,TYPE=driver
37687,TCF7L2,ENST00000543371,.,0.655,2.677565162159792,0.140213523132,TYPE=driver
37688,NSA2,ENST00000296802,.,0.655,2.677565162159792,0.140213523132,TYPE=driver
37689,PSMA7,ENST00000370873,.,0.654,2.6764614907090722,0.140213523132,TYPE=driver
37690,TPD52,ENST00000379097,.,0.654,2.6764614907090722,0.140213523132,TYPE=driver
37691,SLC12A2,ENST00000262461,.,0.654,2.6677316594497458,0.142049469965,TYPE=driver
37692,HOXA1,ENST00000343060,.,0.653,2.6677316594497458,0.142049469965,TYPE=driver
37693,SMARCD2,ENST00000448276,.,0.652,2.662363303308236,0.143309859155,TYPE=driver
37694,HIST1H2AB,ENST00000259791,.,0.648,2.6425481134322086,0.147766323024,TYPE=driver
37695,KLF5,ENST00000377687,.,0.648,2.6425481134322086,0.147766323024,TYPE=driver
37696,ABI2,ENST00000261017,.,0.648,2.6384892569551366,0.147766323024,TYPE=driver
37697,DBN1,ENST00000292385,.,0.647,2.6384892569551366,0.147766323024,TYPE=driver
37698,HIST1H3B,ENST00000244661,.,0.647,2.6384892569551366,0.147766323024,TYPE=driver
37699,SF1,ENST00000377387,.,0.647,2.6384892569551366,0.147766323024,TYPE=driver
37700,RPL22,ENST00000234875,.,0.647,2.6384892569551366,0.147766323024,TYPE=driver
37701,ARRDC3,ENST00000265138,.,0.6459999999999999,2.6294931922916938,0.150342465754,TYPE=driver
37702,CBX5,ENST00000209875,.,0.645,2.622622853821802,0.151186440678,TYPE=driver
37703,POR,ENST00000461988,.,0.645,2.622622853821802,0.151186440678,TYPE=driver
37704,EIF5A,ENST00000336452,.,0.645,2.622622853821802,0.151186440678,TYPE=driver
37705,AHR,ENST00000242057,.,0.644,2.6168192777231822,0.15270270270300002,TYPE=driver
37706,CHEK1,ENST00000534070,.,0.644,2.612041512464034,0.153355704698,TYPE=driver
